exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
257110.34,2,unique,False,479,95.04,5.76,95.80000000000001
257147.26,2,unique,False,418,95.12,5.76,83.60000000000001
257198.51,2,unique,False,514,95.0,5.79,102.80000000000001
257244.39,2,unique,False,430,95.12,5.73,86.0
257289.11,2,unique,False,516,95.0,5.78,103.2
257327.5,2,unique,False,435,95.04,5.74,87.0
257354.48,2,unique,False,300,95.12,5.76,60.0
257387.44,2,unique,False,344,95.32,5.76,68.8
257431.5,2,unique,False,429,95.04,5.74,85.80000000000001
257459.15,2,unique,False,307,95.28,5.78,61.400000000000006
257497.02,2,unique,False,433,95.0,5.74,86.60000000000001
257540.76,2,unique,False,436,95.16,5.75,87.2
257582.67,2,unique,False,404,95.24,5.76,80.80000000000001
257613.52,2,unique,False,331,95.08,5.86,66.2
257645.69,2,unique,False,352,95.0,5.98,70.4
257690.92,2,unique,False,531,95.04,5.81,106.2
257736.49,2,unique,False,432,95.08,5.74,86.4
257767.22,2,unique,False,342,95.04,5.84,68.4
257801.82,2,unique,False,402,95.04,5.72,80.4
257829.69,2,unique,False,313,95.08,5.92,62.6
257873.77,3,unique,False,332,95.04,8.39,66.4
257908.24,3,unique,False,260,95.12,8.43,52.0
257942.22,3,unique,False,244,95.08,8.52,48.800000000000004
257980.86,3,unique,False,265,95.36,8.54,53.0
258017.46,3,unique,False,277,95.0,8.38,55.400000000000006
258053.31,3,unique,False,267,95.0,8.41,53.400000000000006
258086.93,3,unique,False,235,95.16,8.43,47.0
258139.64,3,unique,False,402,95.12,8.49,80.4
258171.68,3,unique,False,246,95.28,8.57,49.2
258202.83,3,unique,False,241,95.0,8.37,48.2
258235.12,3,unique,False,243,95.16,8.64,48.6
258278.62,3,unique,False,257,95.24,8.74,51.400000000000006
258311.22,3,unique,False,222,95.08,8.79,44.400000000000006
258343.9,3,unique,False,218,95.08,8.65,43.6
258377.63,3,unique,False,247,95.08,8.68,49.400000000000006
258408.47,3,unique,False,209,95.0,8.61,41.800000000000004
258444.86,3,unique,False,248,95.04,8.54,49.6
258483.95,3,unique,False,283,95.04,8.77,56.6
258528.22,3,unique,False,333,95.0,8.73,66.60000000000001
258569.95,3,unique,False,283,95.16,8.57,56.6
258612.48,4,unique,False,192,95.16,10.83,38.400000000000006
258651.14,4,unique,False,220,95.04,11.22,44.0
258699.64,4,unique,False,255,95.04,11.08,51.0
258740.07,4,unique,False,217,95.32,11.23,43.400000000000006
258797.27,4,unique,False,310,95.0,10.71,62.0
258835.64,4,unique,False,224,95.04,11.15,44.800000000000004
258875.62,4,unique,False,220,95.08,11.07,44.0
258912.62,4,unique,False,210,95.16,11.24,42.0
258951.01,4,unique,False,174,95.12,11.0,34.800000000000004
258994.37,4,unique,False,225,95.0,11.03,45.0
