exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time,max_coverage_ratio
198220.4,2,unique,False,999,99.08,6.04,199.8,99
198309.14,2,unique,False,813,99.0,6.09,162.60000000000002,99
198404.99,2,unique,False,812,99.04,6.08,162.4,99
198458.24,2,unique,False,482,99.04,5.99,96.4,99
198596.92,2,unique,False,994,99.0,6.04,198.8,99
198656.18,2,unique,False,529,99.0,5.99,105.80000000000001,99
198708.05,2,unique,False,487,99.0,6.03,97.4,99
198795.05,2,unique,False,779,99.0,6.05,155.8,99
198833.64,2,unique,False,438,99.0,5.8,87.60000000000001,99
198886.88,2,unique,False,476,99.0,6.01,95.2,99
198919.81,2,unique,False,322,97.0,5.94,64.4,97
198951.58,2,unique,False,290,97.2,6.0,58.0,97
198996.18,2,unique,False,440,97.08,5.8,88.0,97
199030.55,2,unique,False,387,97.0,5.95,77.4,97
199068.06,2,unique,False,466,97.04,5.83,93.2,97
199097.8,2,unique,False,304,97.0,6.04,60.800000000000004,97
199128.32,2,unique,False,305,97.04,5.99,61.0,97
199157.02,2,unique,False,314,97.0,5.95,62.800000000000004,97
199187.2,2,unique,False,324,97.2,5.92,64.8,97
199234.53,2,unique,False,449,97.0,5.91,89.80000000000001,97
199270.9,2,unique,False,313,95.0,5.94,62.6,95
199300.52,2,unique,False,306,95.0,6.03,61.2,95
199332.14,2,unique,False,344,95.16,6.08,68.8,95
199367.57,2,unique,False,406,95.0,5.76,81.2,95
199411.28,2,unique,False,414,95.0,5.78,82.80000000000001,95
199443.86,2,unique,False,310,95.12,6.0,62.0,95
199479.7,2,unique,False,410,95.0,5.77,82.0,95
199509.41,2,unique,False,318,95.0,6.0,63.6,95
199547.79,2,unique,False,459,95.12,5.82,91.80000000000001,95
199579.44,2,unique,False,321,95.2,5.97,64.2,95
199618.03,2,unique,False,383,90.04,5.74,76.60000000000001,90
199648.76,2,unique,False,270,90.04,5.97,54.0,90
199670.58,2,unique,False,251,90.28,5.91,50.2,90
199703.83,2,unique,False,373,90.12,5.7,74.60000000000001,90
199729.51,2,unique,False,269,90.0,5.98,53.800000000000004,90
199758.17,2,unique,False,281,90.16,5.97,56.2,90
199784.05,2,unique,False,271,90.08,6.0,54.2,90
199809.97,2,unique,False,275,90.0,5.93,55.0,90
199841.82,2,unique,False,366,90.04,5.72,73.2,90
199872.39,2,unique,False,275,90.0,5.98,55.0,90
199952.26,3,unique,False,478,99.0,9.0,95.60000000000001,99
200017.2,3,unique,False,417,99.04,8.63,83.4,99
200078.07,3,unique,False,358,99.04,8.95,71.60000000000001,99
200208.97,3,unique,False,685,99.0,9.04,137.0,99
200260.2,3,unique,False,385,99.08,8.56,77.0,99
200307.81,3,unique,False,397,99.0,8.59,79.4,99
200341.66,3,unique,False,219,99.08,8.81,43.800000000000004,99
200393.41,3,unique,False,376,99.0,8.54,75.2,99
200438.39,3,unique,False,327,99.04,8.67,65.4,99
200510.63,3,unique,False,420,99.0,8.83,84.0,99
200553.25,3,unique,False,280,97.04,8.89,56.0,97
200581.88,3,unique,False,190,97.16,8.87,38.0,97
200619.8,3,unique,False,259,97.04,8.9,51.800000000000004,97
200659.34,3,unique,False,214,97.28,8.81,42.800000000000004,97
200698.4,3,unique,False,236,97.12,8.9,47.2,97
200731.62,3,unique,False,228,97.16,8.98,45.6,97
200764.56,3,unique,False,213,97.28,8.83,42.6,97
200820.96,3,unique,False,379,97.16,8.53,75.8,97
200853.9,3,unique,False,223,97.4,8.88,44.6,97
200893.76,3,unique,False,208,97.04,8.98,41.6,97
200921.4,3,unique,False,194,95.28,8.85,38.800000000000004,95
200967.75,3,unique,False,358,95.16,8.52,71.60000000000001,95
201000.99,3,unique,False,232,95.08,8.75,46.400000000000006,95
201040.2,3,unique,False,203,95.04,8.92,40.6,95
201084.18,3,unique,False,296,95.04,8.72,59.2,95
201122.57,3,unique,False,215,95.04,8.98,43.0,95
201152.4,3,unique,False,198,95.04,8.81,39.6,95
201189.73,3,unique,False,209,95.04,8.88,41.800000000000004,95
201244.77,3,unique,False,369,95.24,8.49,73.8,95
201274.25,3,unique,False,207,95.12,8.93,41.400000000000006,95
201302.14,3,unique,False,195,90.04,8.83,39.0,90
201336.66,3,unique,False,231,90.16,8.97,46.2,90
201371.75,3,unique,False,195,90.4,8.84,39.0,90
201405.83,3,unique,False,185,90.0,8.91,37.0,90
201436.3,3,unique,False,195,90.16,8.91,39.0,90
201462.95,3,unique,False,184,90.12,8.84,36.800000000000004,90
201491.66,3,unique,False,188,90.16,8.95,37.6,90
201521.59,3,unique,False,194,90.08,8.95,38.800000000000004,90
201565.55,3,unique,False,335,90.24,8.44,67.0,90
201616.9,3,unique,False,344,90.16,8.44,68.8,90
201679.11,4,unique,False,357,99.04,11.29,71.4,99
201732.88,4,unique,False,222,99.0,11.7,44.400000000000006,99
201816.27,4,unique,False,289,99.0,11.62,57.800000000000004,99
201878.31,4,unique,False,374,99.0,11.35,74.8,99
201934.8,4,unique,False,202,99.0,11.57,40.400000000000006,99
201997.09,4,unique,False,361,99.0,11.28,72.2,99
202095.9,4,unique,False,405,99.0,11.69,81.0,99
202185.38,4,unique,False,379,99.04,11.79,75.8,99
202264.67,4,unique,False,280,99.0,11.77,56.0,99
202331.8,4,unique,False,375,99.04,11.32,75.0,99
202380.65,4,unique,False,199,97.08,11.7,39.800000000000004,97
202440.92,4,unique,False,355,97.0,11.26,71.0,97
202487.86,4,unique,False,176,97.12,11.66,35.2,97
202543.15,4,unique,False,302,97.0,11.4,60.400000000000006,97
202600.98,4,unique,False,353,97.0,11.29,70.60000000000001,97
