exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time,max_coverage_ratio
242901.15,2,unique,False,438,98.08,5.79,87.60000000000001,98
242950.93,2,unique,False,357,98.12,5.98,71.4,98
243017.53,2,unique,False,479,98.0,6.05,95.80000000000001,98
243075.74,2,unique,False,403,98.0,6.01,80.60000000000001,98
243155.04,2,unique,False,549,98.04,6.05,109.80000000000001,98
243215.65,2,unique,False,432,98.0,6.01,86.4,98
243267.15,2,unique,False,375,98.04,6.06,75.0,98
243326.05,2,unique,False,396,98.12,5.95,79.2,98
243377.97,2,unique,False,434,98.0,5.79,86.80000000000001,98
243419.87,2,unique,False,315,98.04,5.98,63.0,98
243470.2,3,unique,False,214,98.0,8.89,42.800000000000004,98
243558.41,3,unique,False,344,98.0,9.01,68.8,98
243626.77,3,unique,False,369,98.32,8.53,73.8,98
243703.73,3,unique,False,383,98.0,8.57,76.60000000000001,98
243769.74,3,unique,False,387,98.16,8.57,77.4,98
243838.06,3,unique,False,387,98.04,8.56,77.4,98
243885.94,3,unique,False,256,98.04,8.89,51.2,98
243950.15,3,unique,False,315,98.0,8.92,63.0,98
244015.45,3,unique,False,333,98.0,8.96,66.60000000000001,98
244075.61,3,unique,False,393,98.08,8.55,78.60000000000001,98
244123.6,4,unique,False,179,98.0,11.54,35.800000000000004,98
244173.39,4,unique,False,209,98.04,11.77,41.800000000000004,98
244271.25,4,unique,False,385,98.04,11.38,77.0,98
244319.31,4,unique,False,176,98.36,11.51,35.2,98
244367.07,4,unique,False,211,98.04,11.68,42.2,98
244434.38,4,unique,False,339,98.12,11.25,67.8,98
244510.79,4,unique,False,381,98.0,11.36,76.2,98
244585.96,4,unique,False,358,98.08,11.29,71.60000000000001,98
244657.97,4,unique,False,356,98.12,11.32,71.2,98
244738.4,4,unique,False,379,98.16,11.34,75.8,98
244791.69,5,unique,False,146,98.12,14.15,29.200000000000003,98
244844.01,5,unique,False,156,98.04,14.48,31.200000000000003,98
244899.18,5,unique,False,155,98.08,14.2,31.0,98
244968.25,5,unique,False,184,98.04,14.33,36.800000000000004,98
245033.62,5,unique,False,148,98.08,14.06,29.6,98
245088.82,5,unique,False,169,98.0,14.43,33.800000000000004,98
245144.12,5,unique,False,153,98.0,14.23,30.6,98
245200.01,5,unique,False,175,98.24,14.27,35.0,98
245261.1,5,unique,False,173,98.0,14.33,34.6,98
245326.23,5,unique,False,165,98.12,14.16,33.0,98
245423.88,6,unique,False,210,98.0,17.25,42.0,98
245542.09,6,unique,False,245,98.04,17.4,49.0,98
245619.87,6,unique,False,157,98.16,17.04,31.400000000000002,98
245713.02,6,unique,False,158,98.0,16.48,31.6,98
245797.83,6,unique,False,174,98.0,16.73,34.800000000000004,98
245855.87,6,unique,False,129,98.0,16.99,25.8,98
245922.41,6,unique,False,145,98.0,16.94,29.0,98
245986.37,6,unique,False,141,98.0,17.03,28.200000000000003,98
246077.54,6,unique,False,168,98.04,17.21,33.6,98
246177.46,6,unique,False,208,98.0,17.23,41.6,98
