exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
60530.87,4,unique,False,336,95.08,11.21,67.2
60593.16,4,unique,False,350,95.0,11.25,70.0
60657.56,4,unique,False,335,95.2,11.18,67.0
60726.54,4,unique,False,336,95.12,11.19,67.2
60780.74,4,unique,False,176,95.52,11.59,35.2
60847.2,4,unique,False,184,95.0,11.59,36.800000000000004
60926.96,4,unique,False,330,95.12,11.19,66.0
61023.63,4,unique,False,335,95.12,11.2,67.0
61129.14,4,unique,False,341,95.16,11.24,68.2
61186.99,4,unique,False,143,95.4,11.53,28.6
61256.12,4,unique,False,164,95.0,11.64,32.800000000000004
61359.7,4,unique,False,342,95.0,11.23,68.4
61433.1,4,unique,False,180,95.28,11.81,36.0
61540.08,4,unique,False,342,95.04,11.22,68.4
61626.06,4,unique,False,200,95.28,11.73,40.0
61736.83,4,unique,False,334,95.04,11.2,66.8
61800.01,4,unique,False,167,95.24,11.57,33.4
61906.32,4,unique,False,348,95.04,11.25,69.60000000000001
61976.12,4,unique,False,166,95.08,11.58,33.2
62041.55,4,unique,False,177,95.08,11.63,35.4
62149.27,4,unique,False,337,95.08,11.2,67.4
62253.13,4,unique,False,347,95.08,11.27,69.4
62347.12,4,unique,False,346,95.0,11.23,69.2
62405.6,4,unique,False,168,95.04,11.67,33.6
62465.39,4,unique,False,161,95.12,11.47,32.2
62525.41,4,unique,False,163,95.12,11.65,32.6
62609.04,4,unique,False,200,95.28,11.72,40.0
62709.86,4,unique,False,334,95.08,11.2,66.8
62808.29,4,unique,False,344,95.12,11.24,68.8
62920.87,4,unique,False,349,95.04,11.27,69.8
