exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
39.49,2,continuous,False,350,95.08,6.18,70.0
44.7,2,continuous,False,350,95.0,6.16,70.0
54.9,2,continuous,False,466,95.12,6.2,93.2
53.56,2,continuous,False,437,95.08,6.14,87.4
33.61,2,continuous,False,319,95.16,6.1,63.800000000000004
46.12,2,continuous,False,420,95.08,6.13,84.0
51.63,2,continuous,False,424,95.0,6.15,84.80000000000001
47.85,2,continuous,False,332,95.08,6.12,66.4
35.08,2,continuous,False,349,95.0,6.21,69.8
48.16,2,continuous,False,464,95.0,6.17,92.80000000000001
42.37,3,continuous,False,257,95.0,9.13,51.400000000000006
33.74,3,continuous,False,209,95.0,9.02,41.800000000000004
42.16,3,continuous,False,245,95.32,9.09,49.0
64.13,3,continuous,False,329,95.04,9.15,65.8
41.54,3,continuous,False,233,95.04,8.84,46.6
42.97,3,continuous,False,219,95.12,9.14,43.800000000000004
45.15,3,continuous,False,228,95.0,9.08,45.6
44.18,3,continuous,False,213,95.12,9.02,42.6
47.41,3,continuous,False,236,95.0,8.95,47.2
56.72,3,continuous,False,288,95.04,9.07,57.6
38.14,4,continuous,False,162,95.0,11.92,32.4
35.53,4,continuous,False,154,95.0,12.0,30.8
54.02,4,continuous,False,218,95.0,11.99,43.6
53.77,4,continuous,False,220,95.0,11.94,44.0
55.07,4,continuous,False,202,95.0,11.83,40.400000000000006
41.03,4,continuous,False,137,95.0,11.64,27.400000000000002
54.3,4,continuous,False,215,95.2,12.02,43.0
49.31,4,continuous,False,207,95.08,11.96,41.400000000000006
42.8,4,continuous,False,172,95.0,11.96,34.4
43.99,4,continuous,False,183,95.0,12.03,36.6
46.78,5,continuous,False,144,95.0,14.53,28.8
40.68,5,continuous,False,132,95.04,14.42,26.400000000000002
54.58,5,continuous,False,139,95.16,14.44,27.8
52.62,5,continuous,False,161,95.0,14.66,32.2
49.62,5,continuous,False,123,95.28,14.24,24.6
44.29,5,continuous,False,147,95.04,14.55,29.400000000000002
63.36,5,continuous,False,187,95.08,14.67,37.4
52.55,5,continuous,False,153,95.2,14.55,30.6
47.9,5,continuous,False,147,95.16,14.69,29.400000000000002
60.25,5,continuous,False,148,95.04,14.41,29.6
47.35,6,continuous,False,118,95.0,16.8,23.6
57.91,6,continuous,False,130,95.04,17.3,26.0
56.52,6,continuous,False,135,95.08,17.01,27.0
73.43,6,continuous,False,133,95.2,17.22,26.6
59.13,6,continuous,False,132,95.12,16.69,26.400000000000002
50.9,6,continuous,False,121,95.0,16.97,24.200000000000003
46.97,6,continuous,False,107,95.08,17.0,21.400000000000002
52.17,6,continuous,False,120,95.0,17.05,24.0
54.78,6,continuous,False,131,95.04,16.98,26.200000000000003
72.28,6,continuous,False,133,95.12,17.13,26.6
57.33,7,continuous,False,95,95.04,19.0,19.0
48.72,7,continuous,False,85,95.16,18.7,17.0
60.78,7,continuous,False,113,95.36,19.16,22.6
62.04,7,continuous,False,112,95.0,19.35,22.400000000000002
57.21,7,continuous,False,103,95.16,19.41,20.6
58.56,7,continuous,False,88,95.12,19.19,17.6
63.37,7,continuous,False,91,95.28,18.98,18.2
64.2,7,continuous,False,104,95.24,19.33,20.8
72.17,7,continuous,False,116,95.04,19.53,23.200000000000003
51.76,7,continuous,False,87,95.04,19.25,17.400000000000002
63.2,8,continuous,False,84,95.08,20.65,16.8
62.47,8,continuous,False,89,95.0,21.35,17.8
79.11,8,continuous,False,105,95.04,22.09,21.0
77.66,8,continuous,False,109,95.16,21.11,21.8
62.78,8,continuous,False,83,95.2,21.41,16.6
59.71,8,continuous,False,85,95.04,21.03,17.0
67.23,8,continuous,False,88,95.0,21.33,17.6
81.45,8,continuous,False,95,95.04,21.21,19.0
62.33,8,continuous,False,82,95.12,21.07,16.400000000000002
57.53,8,continuous,False,76,95.12,21.0,15.200000000000001
99.73,9,continuous,False,97,95.04,23.52,19.400000000000002
74.46,9,continuous,False,70,95.0,22.16,14.0
78.71,9,continuous,False,85,95.44,22.64,17.0
73.71,9,continuous,False,80,95.0,23.48,16.0
83.22,9,continuous,False,80,95.12,23.14,16.0
75.68,9,continuous,False,77,95.16,22.95,15.4
69.09,9,continuous,False,70,95.16,22.56,14.0
77.59,9,continuous,False,81,95.0,23.82,16.2
73.85,9,continuous,False,76,95.04,22.57,15.200000000000001
103.74,9,continuous,False,103,95.16,23.9,20.6
104.37,10,continuous,False,76,95.0,25.55,15.200000000000001
97.03,10,continuous,False,82,95.12,25.7,16.400000000000002
78.62,10,continuous,False,67,95.08,24.46,13.4
93.27,10,continuous,False,84,95.0,26.22,16.8
84.58,10,continuous,False,74,95.04,25.06,14.8
84.97,10,continuous,False,71,95.08,24.73,14.200000000000001
91.72,10,continuous,False,83,95.4,25.32,16.6
88.76,10,continuous,False,71,95.0,25.2,14.200000000000001
95.5,10,continuous,False,73,95.08,24.73,14.600000000000001
100.19,10,continuous,False,84,95.28,25.75,16.8
