exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
15235.3,2,unique,False,418,95.0,5.78,83.6
15264.81,2,unique,False,295,95.16,6.06,59.0
15291.54,2,unique,False,313,95.04,6.04,62.6
15336.53,3,unique,False,378,95.04,8.51,75.6
15368.26,3,unique,False,235,95.16,8.87,47.0
15411.23,3,unique,False,362,95.16,8.49,72.4
15442.64,4,unique,False,157,95.44,11.7,31.4
15496.37,4,unique,False,336,95.0,11.19,67.2
15550.61,4,unique,False,348,95.12,11.27,69.6
15592.81,5,unique,False,147,95.16,13.99,29.4
15629.28,5,unique,False,127,95.2,14.3,25.4
15664.2,5,unique,False,129,95.0,14.09,25.8
15701.93,6,unique,False,99,95.0,16.72,19.8
15739.29,6,unique,False,101,95.0,16.87,20.2
15774.04,6,unique,False,96,95.16,16.66,19.2
15815.66,7,unique,False,91,95.0,19.13,18.2
15867.21,7,unique,False,106,95.16,18.97,21.2
15917.17,7,unique,False,101,95.16,19.14,20.2
15967.56,8,unique,False,80,95.0,21.18,16.0
16029.37,8,unique,False,97,95.04,21.0,19.4
16076.26,8,unique,False,76,95.16,20.86,15.2
35.48,2,continuous,False,357,95.2,6.15,71.4
33.38,2,continuous,False,350,95.16,6.13,70.0
33.75,2,continuous,False,368,95.08,6.17,73.6
40.17,3,continuous,False,262,95.08,9.15,52.4
37.11,3,continuous,False,234,95.12,8.98,46.8
41.67,3,continuous,False,253,95.0,8.98,50.6
35.88,4,continuous,False,158,95.08,11.53,31.6
38.9,4,continuous,False,177,95.12,11.83,35.4
34.93,4,continuous,False,168,95.0,11.79,33.6
41.15,5,continuous,False,137,95.2,14.34,27.4
61.6,5,continuous,False,191,95.0,14.6,38.2
41.25,5,continuous,False,137,95.08,14.55,27.4
41.26,6,continuous,False,109,95.0,16.78,21.8
52.26,6,continuous,False,131,95.04,17.07,26.2
52.62,6,continuous,False,130,95.16,16.66,26.0
47.47,7,continuous,False,93,95.16,19.11,18.6
48.94,7,continuous,False,98,95.04,19.53,19.6
47.28,7,continuous,False,96,95.12,19.1,19.2
60.5,8,continuous,False,97,95.08,21.22,19.4
54.78,8,continuous,False,85,95.12,20.92,17.0
54.32,8,continuous,False,84,95.04,20.85,16.8
17068.93,2,unique,True,307,95.08,5.98,61.4
17090.02,2,unique,True,264,95.08,5.88,52.8
17110.98,2,unique,True,266,95.24,5.89,53.2
17143.78,3,unique,True,225,95.24,8.9,45.0
17169.56,3,unique,True,177,95.12,8.63,35.4
17199.92,3,unique,True,209,95.2,8.79,41.8
17231.81,4,unique,True,159,95.08,11.54,31.8
17269.2,4,unique,True,171,95.04,11.6,34.2
17299.81,4,unique,True,152,95.4,11.34,30.4
17334.2,5,unique,True,123,95.36,14.04,24.6
17372.57,5,unique,True,127,95.0,13.99,25.4
17411.31,5,unique,True,132,95.2,13.96,26.4
17455.54,6,unique,True,116,95.2,16.66,23.2
17495.3,6,unique,True,111,95.0,16.74,22.2
17531.79,6,unique,True,98,95.52,16.59,19.6
17592.97,7,unique,True,114,95.0,19.34,22.8
17642.31,7,unique,True,100,95.16,19.21,20.0
17689.18,7,unique,True,92,95.0,18.94,18.4
17753.55,8,unique,True,103,95.2,21.35,20.6
17812.53,8,unique,True,92,95.08,20.53,18.4
17862.39,8,unique,True,77,95.0,20.57,15.4
35.99,2,continuous,True,383,95.12,6.15,76.6
35.96,2,continuous,True,374,95.0,6.16,74.8
37.24,2,continuous,True,394,95.04,6.15,78.8
34.74,3,continuous,True,228,95.0,8.94,45.6
42.42,3,continuous,True,266,95.08,8.88,53.2
37.86,3,continuous,True,250,95.0,9.02,50.0
42.32,4,continuous,True,192,95.08,11.93,38.4
42.31,4,continuous,True,179,95.0,11.85,35.8
36.1,4,continuous,True,160,95.04,11.81,32.0
39.17,5,continuous,True,131,95.08,14.38,26.2
37.18,5,continuous,True,126,95.0,13.9,25.2
56.29,5,continuous,True,186,95.12,14.79,37.2
43.91,6,continuous,True,110,95.16,16.86,22.0
44.76,6,continuous,True,115,95.0,16.81,23.0
55.38,6,continuous,True,144,95.32,16.89,28.8
58.02,7,continuous,True,108,95.0,19.1,21.6
57.21,7,continuous,True,112,95.0,18.88,22.4
64.02,7,continuous,True,130,95.16,19.8,26.0
48.45,8,continuous,True,75,95.24,20.63,15.0
75.2,8,continuous,True,119,95.0,21.24,23.8
78.38,8,continuous,True,124,95.0,22.14,24.8
