exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
7579.27,2,unique,False,406,95.04,5.72,81.2
7604.64,2,unique,False,276,95.04,5.95,55.2
7636.63,2,unique,False,406,95.0,5.71,81.2
7683.2,3,unique,False,396,95.08,8.5,79.2
7723.11,3,unique,False,305,95.04,8.59,61.0
7757.66,3,unique,False,236,95.08,8.76,47.2
7793.12,4,unique,False,176,95.04,11.47,35.2
7828.99,4,unique,False,173,95.24,11.54,34.6
7883.62,4,unique,False,325,95.04,11.13,65.0
7927.0,5,unique,False,151,95.12,14.13,30.200000000000003
7962.52,5,unique,False,128,95.12,13.82,25.6
7996.63,5,unique,False,123,95.32,14.29,24.6
8036.7,6,unique,False,108,95.12,16.48,21.6
8072.12,6,unique,False,101,95.08,16.36,20.200000000000003
8116.82,6,unique,False,132,95.12,16.37,26.400000000000002
8161.68,7,unique,False,92,95.08,18.1,18.400000000000002
8209.47,7,unique,False,99,95.0,18.32,19.8
8262.33,7,unique,False,106,95.28,19.15,21.200000000000003
8309.25,8,unique,False,79,95.0,20.23,15.8
8363.51,8,unique,False,89,95.0,20.91,17.8
8412.2,8,unique,False,78,95.04,20.43,15.600000000000001
42.07,2,continuous,False,446,95.04,6.11,89.2
46.74,2,continuous,False,476,95.04,6.09,95.2
40.94,2,continuous,False,407,95.0,6.0,81.4
43.42,3,continuous,False,299,95.08,8.94,59.800000000000004
37.97,3,continuous,False,249,95.04,8.93,49.800000000000004
35.0,3,continuous,False,214,95.04,8.92,42.800000000000004
42.84,4,continuous,False,200,95.08,11.74,40.0
35.12,4,continuous,False,158,95.04,11.7,31.6
33.19,4,continuous,False,154,95.12,11.74,30.8
54.26,5,continuous,False,194,95.04,14.3,38.800000000000004
45.71,5,continuous,False,144,95.08,13.77,28.8
46.04,5,continuous,False,148,95.04,14.25,29.6
45.49,6,continuous,False,119,95.28,16.54,23.8
35.83,6,continuous,False,93,95.16,16.26,18.6
42.78,6,continuous,False,106,95.12,16.76,21.200000000000003
43.75,7,continuous,False,85,95.04,18.81,17.0
54.8,7,continuous,False,111,95.04,18.99,22.200000000000003
43.15,7,continuous,False,87,95.16,18.68,17.400000000000002
63.45,8,continuous,False,101,95.04,20.66,20.200000000000003
63.36,8,continuous,False,103,95.04,21.7,20.6
58.31,8,continuous,False,95,95.08,21.45,19.0
9420.82,2,unique,True,281,95.12,5.83,56.2
9443.11,2,unique,True,270,95.12,5.84,54.0
9464.93,2,unique,True,275,95.04,5.83,55.0
9492.06,3,unique,True,207,95.2,8.5,41.400000000000006
9520.38,3,unique,True,216,95.2,8.76,43.2
9544.87,3,unique,True,184,95.04,8.68,36.800000000000004
9581.91,4,unique,True,173,95.0,11.54,34.6
9612.41,4,unique,True,154,95.28,11.31,30.8
9649.99,4,unique,True,179,95.16,11.57,35.800000000000004
9677.24,5,unique,True,104,95.12,13.78,20.8
9713.14,5,unique,True,127,95.08,13.83,25.400000000000002
9745.95,5,unique,True,115,95.24,13.97,23.0
9787.46,6,unique,True,111,95.08,16.23,22.200000000000003
9837.35,6,unique,True,128,95.12,16.41,25.6
9889.28,6,unique,True,137,95.08,16.48,27.400000000000002
9958.51,7,unique,True,134,95.4,19.19,26.8
10001.38,7,unique,True,89,95.16,18.47,17.8
10045.81,7,unique,True,88,95.16,18.45,17.6
10109.78,8,unique,True,102,95.0,20.65,20.400000000000002
10173.52,8,unique,True,102,95.04,20.14,20.400000000000002
10231.97,8,unique,True,96,95.12,20.71,19.200000000000003
33.36,2,continuous,True,343,95.0,6.08,68.60000000000001
35.5,2,continuous,True,388,95.12,5.99,77.60000000000001
31.74,2,continuous,True,339,95.08,6.06,67.8
38.31,3,continuous,True,236,95.08,8.72,47.2
30.01,3,continuous,True,195,95.0,8.96,39.0
40.7,3,continuous,True,256,95.08,8.71,51.2
44.22,4,continuous,True,186,95.0,11.53,37.2
38.33,4,continuous,True,178,95.08,11.68,35.6
36.4,4,continuous,True,166,95.0,11.69,33.2
45.55,5,continuous,True,152,95.16,14.37,30.400000000000002
46.04,5,continuous,True,152,95.0,14.25,30.400000000000002
53.05,5,continuous,True,180,95.0,14.44,36.0
55.85,6,continuous,True,139,95.16,16.92,27.8
56.08,6,continuous,True,135,95.24,16.35,27.0
46.11,6,continuous,True,121,95.32,16.91,24.200000000000003
48.53,7,continuous,True,97,95.12,18.16,19.400000000000002
52.28,7,continuous,True,108,95.08,19.24,21.6
47.89,7,continuous,True,95,95.04,18.63,19.0
67.46,8,continuous,True,110,95.08,21.56,22.0
54.48,8,continuous,True,82,95.16,20.67,16.400000000000002
73.8,8,continuous,True,127,95.2,21.54,25.400000000000002
